bigram,count
dez 2004,138
2004 benutzer,120
mathias schindler,94
12 2004,68
elian elian,57
benutzer elian,57
alter inhalt,50
benutzer mathias,46
schindler mathias,46
kategorie themenportal,41
gelöscht alter,41
4 dez,41
benutzer diskussion,38
03 12,36
5 dez,35
kategorie wikinews,33
artikelstatus fertig,27
2011 cest,25
benutzer itu,24
themenverwandte artikel,24
itu itu,24
3 dez,23
portallink hintergrundfarbe,21
datei wikinews,20
portalname portal,20
– hilfe,19
wikinews waves,18
png 21px,18
wikinews diskussion,18
04 12,18
vorlage hauptseite,18
benutzer blaite,17
diskussion itu,16
w de,16
blaite blaite,16
itu diskussion,16
itu benutzer,16
benutzer akl,16
akl akl,15
dezember 2004,15
· wikinews,15
datum 03,15
– wikinews,15
6 dez,14
per heute,13
inhalt redirect,13
1 0,12
gruss benutzer,12
inhalt löschen,12
8 dez,12
diskussion kategorien,12
wolfdieter wolfdieter,12
benutzer wolfdieter,12
2011 cet,12
heute existieren,11
wikipedia de,11
themenportal politik,11
01 2006,11
existieren wikinews,11
kategorie politik,11
2004 cet,11
thumb right,10
benutzer chrgermany,10
spiegel online,10
mai 2011,10
waves right,9
waves left,9
1 month,9
right png,9
chrgermany chrgermany,9
· hilfe,9
benutzer dab,9
bereinigung kategorie,9
left png,9
medium heise,8
heise online,8
19 01,8
titel wikipedia,8
jun 2011,8
erste schritte,8
0 freigegeben,8
danke benutzer,8
bill gates,8
wikinews wikinews,8
it categoria,8
kategorie hauptkategorie,8
dab dab,8
mfg benutzer,8
zweite schritte,8
zitat tages,8
mozilla firefox,8
matthiasb matthiasb,7
en category,7
wikinews löschkandidaten,7
brauche hilfe,7
gelöscht urv,7
beitraege fuer,7
fuer zeitraum,7
7 dez,7
einstweilige verfuegung,7
sisterlinks category,7
jul 2013,7
medium spiegel,7
readers edition,7
datum 19,7
datum datum,7
2004 utc,7
2016 cest,7
2013 cest,7
benutzer matthiasb,7
donald rumsfeld,7
2012 cet,7
artikelstatus entstehen,7
spezial contributions,7
4 12,7
2012 cest,7
titel titel,7
order ascending,7
stiftung warentest,7
yes men,7
vorlage hauptseitenbausteine,7
blockiert benutzer,7
wikinews benutzer,7
2014 cest,7
datei checkblue,6
svg rechts,6
checkblue svg,6
artikeln kategorie,6
originaere berichterstattung,6
jan 2012,6
letzte aenderungen,6
addfirstcategorydate true,6
2 5,6
suppresserrors true,6
the yes,6
ago timel,6
action purge,6
wikimedia foundation,6
zusammenfassung quellen,6
okt 2014,6
wiktor janukowytsch,6
en wikinews,6
wikinews spezial,6
hauptseite aufmacher,6
special recentchanges,6
spezial allpages,6
month ago,6
einsortierung artikeln,6
laut wikinews,6
hartmann linge,6
15px erledigt,6
00 uhr,6
kategorie softwarehersteller,6
rechts 15px,6
4 okt,6
jpg thumb,6
elian wikinews,6
wikinews meinungsbild,6
timel m,6
benutzer michaeldiederich,6
thunderbird 1,6
wikinews organisation,6
wikinews hilfe,6
wikinews handbuch,6
ar تصنيف,5
hilfe übersicht,5
apr 2016,5
kategorie recht,5
miss world,5
tageszeitung deutsch,5
jun 2006,5
z b,5
8 mai,5
michaeldiederich michaeldiederich,5
internet relay,5
2018 cet,5
release candidate,5
relay chat,5
wiktor juschtschenko,5
deutschland 03,5
deutsche wikinews,5
mac os,5
zeitraum 4,5
dow chemical,5
spezial beitraege,5
spezial letzte,5
maer 2011,5
4 hours,5
kategorie deutsche,5
de wikinews,5
cs kategorie,5
wikinews plaene,5
2006 cest,5
wikinews kategorien,5
eo kategorio,5
wikinews gestartet,5
2004 w,5
wikinews artikelschmiede,5
datum bekannt,5
liste aktualisieren,5
diskussion 17,5
wikimedia commons,5
mehr online,5
aktuelle ereignisse,5
2 6,5
10 dez,5
0 0,5
os x,5
fr catégorie,5
verboten gelöscht,5
artikel wikinews,5
pl kategoria,5
tr kategori,5
nov 2018,5
fuer ungueltig,5
artikel pro,5
vereinigte staaten,5
benutzer aholtman,5
ko 분류,5
png thumb,5
vorerst verboten,5
namespace 0,5
vielen dank,5
u a,5
themenportal computer,5
schindler blockiert,5
kategorie wiktor,5
zh category,4
hauptseite zitat,4
titel bekannt,4
wikinews schnelllöschkandidat,4
rechte fuer,4
kategorie ermittlungsverfahren,4
dell utri,4
instant messaging,4
schindler rechte,4
neutraler standpunkt,4
40 5,4
fuer benutzer,4
datum 20,4
news englisch,4
gruesse benutzer,4
pl wikinews,4
themenportal deutschland,4
wikinews org,4
themenportal recht,4
81 214,4
7 12,4
07 12,4
freiwillig zurueckgegeben,4
wikinews de,4
6 nov,4
wikinews lizenzbestimmungen,4
september 2005,4
06 5,4
zukuenftige ereignisse,4
serbisch englisch,4
wikinews archiv,4
wikinews logbuch,4
timel f,4
wikinews pressestammtisch,4
spezial listusers,4
4 dezember,4
schritte zweite,4
ru категория,4
fuer windows,4
jan 2011,4
revolution gelöscht,4
000 kategorien,4
unnötiger redirect,4
fullurl wikinews,4
schritte ·,4
2007 cet,4
dezember 2005,4
2005 kategorienanzahl,4
schritte erste,4
benutzer usien,4
josef schwammberger,4
orange revolution,4
juli 2005,4
jun 2012,4
berliner schildkröte,4
214 100,4
fuer w,4
schindler wikinews,4
3 dezember,4
34 5,4
wikimedia de,4
04 2005,4
usien usien,4
30 4,4
03 2006,4
3 jun,4
uschi glas,4
m 1,4
document location,4
notcategory kategorie,4
it wikinotizie,4
deutschland 04,4
november 2006,4
gelöscht unnötiger,4
23 apr,4
ja カテゴリ,4
kategorie 04,4
ca categoria,4
fertig 3,4
formel 1,4
arbeit soziales,4
fr wikinews,4
fa رده,4
hallo zusammen,4
hilfe brauche,4
w mozilla,4
100 140,4
mozilla thunderbird,4
kategorien kategorien,4
findest wikinews,4
portale portale,4
kategorie opensourcesoftware,4
apr 2011,4
pro tag,4
foundation inc,4
sysop gesetzt,4
holger i,4
pt wikinotícias,4
artikel entstehen,4
pt categoria,4
viktor juschtschenko,4
hauptseite newsticker,4
voreingestellter telekomvorwahl,4
hilfe erste,4
artikelschmiede action,4
hilfe quellen,4
hendrik brummermann,4
1 1,4
telekomvorwahl vorerst,4
1 12,4
sv kategori,4
telefone voreingestellter,4
ro categorie,4
quelle mehr,4
hauptseite spezial,4
fertig 4,4
hilfe zweite,4
seite wikinews,4
cc by,3
trennt freien,3
21px portal,3
repowernation repowernation,3
21px wikinews,3
tages schalter,3
w viktor,3
22 10,3
repowernation benutzer,3
repowernation diskussion,3
jahr wikinews,3
cali colombia,3
jack welch,3
löschen benutzer,3
28 jul,3
27 mai,3
27 jul,3
url id,3
löschkandidaten löschkandidaten,3
notcategory unveröffentlicht,3
26 november,3
hilfe informationsquellen,3
26 dezember,3
25 5,3
23 4,3
angemeldete spezial,3
nov 2011,3
hilfe faq,3
iyad allawi,3
hilfe beispielartikel,3
gelöscht rssfeed,3
bg категория,3
ja ウィキニュース,3
