unigram,count,beginning_count
wikinews,379,64
benutzer,366,57
kategorie,333,255
2004,254,1
artikel,168,18
fuer,147,7
dez,142,0
12,133,6
w,125,9
elian,114,0
gelöscht,114,0
diskussion,108,0
de,106,1
titel,101,58
mathias,94,1
schindler,94,0
hilfe,89,18
–,86,36
4,85,5
1,74,6
datum,68,56
wikipedia,68,7
quelle,68,56
itu,64,0
cest,64,0
5,62,0
url,61,56
3,60,6
inhalt,59,0
medium,57,57
0,56,0
alter,54,1
quellen,51,30
2005,51,1
03,50,9
kategorien,50,3
ueber,47,0
vorlage,46,17
hauptseite,44,4
cet,44,0
themenportal,43,0
·,43,0
19,42,15
wurde,42,0
2011,42,1
seite,42,5
artikelstatus,41,27
2006,40,1
11,40,3
13,39,15
online,39,0
the,37,13
spezial,37,2
10,37,5
ukraine,37,3
news,37,1
deutschland,36,1
portal,35,7
20,33,8
6,33,1
deutsch,33,0
en,33,15
category,33,13
blaite,33,0
fertig,32,0
politik,32,0
gibt,32,2
2,32,2
datei,31,13
akl,31,0
mehr,30,2
englisch,30,0
23,30,13
15,30,10
png,30,0
dezember,29,4
bitte,29,8
04,28,2
22,28,12
01,26,5
wikimedia,26,1
bild,26,13
18,26,7
21,26,12
deutsche,25,5
heute,25,1
mal,24,1
themenverwandte,24,24
wolfdieter,24,0
16,24,5
wurden,24,0
nachrichten,24,2
liste,23,3
00,23,9
chat,22,0
right,22,0
05,22,6
chrgermany,22,0
artikeln,22,0
it,22,14
8,22,0
hallo,22,20
ja,22,11
14,22,5
seiten,21,2
portallink,21,21
löschen,21,0
beginn,21,20
hintergrundfarbe,21,0
17,21,3
portalname,21,0
06,21,1
entstehen,20,1
beitraege,19,0
administratoren,19,2
27,19,0
mozilla,19,2
seit,18,6
7,18,4
laut,18,4
redirect,18,0
21px,18,0
07,18,2
waves,18,0
recht,17,1
dab,17,0
neue,17,2
org,17,0
thunderbird,17,1
per,17,12
26,17,4
spiegel,17,5
jun,17,0
schritte,17,0
30,17,4
tageszeitung,16,0
mai,16,3
danke,16,6
categoria,16,0
linux,16,1
erste,16,1
24,16,3
a,16,0
000,16,0
immer,16,0
08,16,5
s,15,1
recentchanges,15,0
gruss,15,5
finden,15,0
uhr,15,0
china,15,3
oesterreich,15,2
bereits,15,0
of,15,0
version,15,0
stehen,15,1
i,15,2
wiki,15,1
svg,15,0
heise,14,0
rumsfeld,14,2
2012,14,0
computer,14,1
wahl,14,2
siehe,14,4
derzeit,14,1
veröffentlicht,14,1
matthiasb,14,0
löschkandidaten,14,1
link,14,2
thumb,13,0
menschen,13,0
europa,13,2
ereignisse,13,0
aktuell,13,1
welt,13,1
staaten,13,0
geht,13,1
wegen,13,0
…,13,5
möglich,13,1
notcategory,13,13
google,13,4
vorlagen,13,1
existieren,13,0
erklaert,13,0
sollen,12,0
portale,12,0
einfach,12,0
presse,12,2
sollten,12,1
projekt,12,1
schalter,12,0
namen,12,1
kannst,12,3
zwei,12,0
meinungsbild,12,0
kategori,12,0
firefox,12,0
25,12,4
weitere,12,2
muessen,12,0
freigegeben,12,0
40,12,0
true,12,0
arbeit,12,0
neuen,12,1
verfuegung,12,1
bekannt,12,0
informationen,12,0
timel,12,0
indymedia,12,5
apr,11,0
bereinigung,11,3
ab,11,0
zeit,11,0
drei,11,0
juschtschenko,11,0
jan,11,0
special,11,0
edition,11,0
2014,11,0
irc,11,0
sei,11,0
wiktor,11,0
deutschen,11,1
berlin,11,0
links,11,0
michaeldiederich,11,0
pl,11,11
tag,11,3
newsticker,11,1
streitkraefte,11,7
stiftung,11,0
aktuelle,11,3
november,11,3
pressestammtisch,11,0
artikelschmiede,11,1
archiv,11,2
02,11,2
fr,11,11
denen,11,0
fragen,10,2
plaene,10,0
pt,10,10
hauptkategorie,10,0
nov,10,0
action,10,0
internet,10,0
jul,10,0
schon,10,1
foundation,10,0
januar,10,3
jemand,10,2
neben,10,5
09,10,2
51,10,0
commons,10,0
utf8,10,0
ebenfalls,10,0
thema,10,0
waehrend,10,2
world,10,0
ca,10,7
document,10,2
bill,10,1
tages,10,0
freistadt,9,0
dabei,9,2
v,9,7
platz,9,2
left,9,0
freie,9,0
28,9,1
erst,9,1
urv,9,0
zeitung,9,0
gerade,9,0
to,9,0
no,9,7
meldung,9,1
mfg,9,2
militaerwesen,9,1
ago,9,0
findest,9,0
month,9,0
namespace,9,6
veröffentlichung,9,0
meldungen,9,1
rechts,9,0
repowernation,9,0
inhalte,9,0
wissenschaft,9,2
sehen,9,0
software,9,1
sahaquiel9102,9,0
jahr,9,1
steht,9,0
2013,9,0
vielen,9,5
ru,9,9
2007,8,1
anlegen,8,0
gute,8,0
allerdings,8,0
urteil,8,2
folgende,8,3
windows,8,0
website,8,2
mindestens,8,1
if,8,4
uk,8,7
49,8,0
zitat,8,2
wuerden,8,0
brauche,8,2
möglichkeit,8,0
zweite,8,0
2016,8,0
zh,8,8
ausserdem,8,3
39,8,0
kommen,8,0
ar,8,8
gates,8,0
lassen,8,0
vielleicht,8,2
29,8,2
berichterstattung,8,0
bundesverfassungsgericht,8,1
vorerst,8,0
jpg,8,0
lizenzbestimmungen,8,1
jedoch,8,0
35,8,0
grund,8,1
jahren,8,0
m,8,1
warentest,8,0
maer,8,0
usien,8,0
bietet,8,0
viele,8,1
verboten,8,0
eigene,8,0
okt,8,0
pressemitteilungen,8,4
ersten,8,1
contributions,8,0
toyota,8,0
aenderungen,8,1
ro,8,8
aufmacher,8,1
fa,8,7
cs,8,8
readers,8,0
eo,8,6
daten,8,0
you,8,0
ausgabe,8,0
b,8,0
9,8,0
oktober,8,5
100,8,0
organisation,8,0
gerne,7,0
juli,7,2
übersicht,7,1
kategoria,7,0
nachrichtenagentur,7,0
категория,7,0
zusammenfassung,7,0
aonloadfunctions,7,2
pressespiegel,7,1
apple,7,1
gefunden,7,0
verwendet,7,0
verwenden,7,0
könnten,7,1
nachrichtenportal,7,1
kleine,7,1
janukowitsch,7,0
wohl,7,1
addfirstcategorydate,7,7
schreiben,7,0
he,7,7
hinweis,7,5
hours,7,0
hauptseitenbausteine,7,0
beispiel,7,0
schwammberger,7,0
image,7,6
beispielsweise,7,0
zugeordnet,7,0
schweiz,7,1
wer,7,2
handbuch,7,0
2010,7,1
wirtschaft,7,0
einsortierung,7,7
einstweilige,7,1
italien,7,0
donald,7,0
sisterlinks,7,7
waere,7,0
yes,7,0
sv,7,7
darauf,7,0
meilensteine,7,0
zeitungen,7,1
medien,7,0
miss,7,2
order,7,7
existiert,7,0
utc,7,0
tr,7,7
ascending,7,0
mediawiki,7,2
mentio,7,2
net,7,1
zeitraum,7,0
text,7,0
form,7,0
com,7,0
neuer,7,2
59,7,0
men,7,0
분류,7,0
new,7,3
blockiert,7,0
31,7,1
fehler,7,1
34,7,0
tage,7,0
aholtman,7,0
erledigt,7,1
u,7,1
funktioniert,7,1
52,7,0
81,7,0
passen,7,0
bzw,7,0
leider,7,2
freien,7,0
h,6,0
einstellen,6,1
blick,6,2
einsatz,6,0
beim,6,1
bisher,6,2
faq,6,0
hartmann,6,0
ehemalige,6,1
eigentlich,6,1
gab,6,1
grossen,6,0
categorie,6,0
benutzt,6,0
darf,6,0
besser,6,3
geben,6,0
fuenf,6,0
freiwillig,6,1
gekommen,6,0
bg,6,6
franz,6,0
conny,6,0
gesetzt,6,0
dateien,6,1
gestartet,6,0
at,6,0
bhopal,6,0
benötigt,6,0
gilt,6,1
englischsprachige,6,1
diskussionsseiten,6,0
dafuer,6,1
checkblue,6,0
for,6,1
ganz,6,1
bbc,6,1
mitmachen,6,0
mac,6,0
originaere,6,0
y,6,0
aendern,6,0
x,6,0
neu,6,0
netzeitung,6,2
name,6,0
www,6,1
nachrichtenquelle,6,0
nachricht,6,0
57,6,0
aktualisieren,6,0
möchte,6,0
56,6,0
millionen,6,0
meinungen,6,1
tonialsa,6,0
mehrere,6,1
allpages,6,0
trotzdem,6,0
macht,6,0
partei,6,0
test,6,0
pro,6,0
serbisch,6,0
spanien,6,0
sr,6,6
sowie,6,0
sonstiges,6,6
standpunkt,6,0
softwarehersteller,6,0
stichwahl,6,0
silvio,6,0
server,6,3
sep,6,0
probleme,6,0
schreibe,6,1
15px,6,0
suppresserrors,6,6
sysop,6,0
tagen,6,1
teil,6,0
rechte,6,0
purge,6,0
telefone,6,0
50,6,0
sprachen,6,0
var,6,5
kultur,6,1
2003,6,0
journalisten,6,0
kommt,6,0
ko,6,6
is,6,0
jahre,6,0
verteidigungsminister,6,1
janukowytsch,6,0
46,6,0
veröffentlichen,6,1
viktor,6,0
kategorienanzahl,6,0
140,6,0
warum,6,2
angelegt,6,0
37,6,0
wenig,6,1
kurze,6,1
ziel,6,1
umwelt,6,3
logo,6,1
wuerde,6,3
linge,6,0
letzte,6,0
löschantraege,6,1
anarchistischegegeninformation,6,0
worden,6,0
informationsquellen,6,0
daher,5,0
be,5,0
staat,5,0
bearbeiten,5,0
danach,5,0
dank,5,0
stunden,5,0
standard,5,1
width,5,5
stellen,5,0
beitrag,5,1
daran,5,0
stimmen,5,0
stelle,5,2
wichtig,5,0
wickie37,5,0
wikinotícias,5,0
uebernommen,5,0
texte,5,1
benutze,5,3
technik,5,1
buerger,5,0
tun,5,1
ungueltig,5,0
cali,5,0
unterkategorien,5,0
candidate,5,0
unveröffentlicht,5,0
sprache,5,0
usa,5,0
categoría,5,5
catégorie,5,0
vereinigte,5,1
تصنيف,5,0
channel,5,1
this,5,0
verschieben,5,0
verschiedenen,5,0
chemical,5,0
themen,5,0
that,5,0
telepolis,5,0
telekomvorwahl,5,0
weiss,5,2
heisst,5,0
relay,5,0
sport,5,0
kommunikation,5,1
konzert,5,2
kopieren,5,0
laender,5,1
funktionen,5,1
fullurl,5,4
zuschreibung,5,1
lizenz,5,1
lottozahlen,5,0
löschkandidat,5,0
löschregeln,5,1
französisch,5,0
madrid,5,0
frage,5,0
magazin,5,0
fordert,5,0
konnte,5,0
klicken,5,1
soziales,5,0
kju,5,0
html,5,0
index,5,0
hast,5,1
insbesondere,5,1
hand,5,0
internationalen,5,0
irak,5,0
gut,5,0
jedermann,5,0
global,5,0
zusammen,5,0
gestellt,5,0
kategorio,5,0
kategorisierung,5,1
genannt,5,0
meinung,5,1
folgenden,5,1
momentan,5,0
fi,5,5
regionalkategorien,5,0
einstellungen,5,0
hilfeseite,5,0
release,5,1
reuters,5,2
rund,5,0
schwesterprojekte,5,2
september,5,1
dow,5,0
sofort,5,0
sonicr,5,0
direkt,5,0
dinge,5,0
deutschsprachigen,5,0
deutschsprachige,5,0
eintragen,5,0
regeln,5,0
prozent,5,0
eta,5,1
naechsten,5,0
natuerlich,5,2
fall,5,1
zeitlupe,5,0
oben,5,0
etwa,5,0
erster,5,0
enthalten,5,0
erstellt,5,0
os,5,0
personalie,5,0
z,5,0
post,5,0
problem,5,1
wikinoticias,5,4
kritik,5,0
aktiv,5,0
186,5,0
allgemeine,5,0
autor,5,0
auswaehlen,5,0
angemeldete,5,0
august,5,2
2018,5,0
2008,5,1
ausland,5,0
aktuellen,5,0
58,5,0
cc,4,0
erscheint,4,0
logbuch,4,0
richtig,4,0
versionen,4,0
revolution,4,0
chatzilla,4,2
zdf,4,3
verschoben,4,0
zeiten,4,1
32,4,0
materialien,4,0
zep,4,0
location,4,0
rss,4,0
localyear,4,0
gewalt,4,0
wissenschaftler,4,0
sanya,4,0
with,4,0
samstag,4,1
woche,4,0
times,4,0
computerhackers,4,0
erklaerte,4,0
glas,4,0
abspaltung,4,0
cnn,4,0
wp,4,0
listusers,4,0
ermittlungsverfahren,4,0
rssfeed,4,0
brummermann,4,0
tonline,4,0
bs,4,4
brasilien,4,0
gericht,4,1
miteinander,4,0
quellenangaben,4,1
gemacht,4,0
qualitaet,4,0
ausser,4,0
montegoblue,4,0
bezeichnet,4,0
gehen,4,0
zweiten,4,0
betrieb,4,1
gegenueber,4,0
gegebenenfalls,4,0
gegeben,4,0
betreffen,4,0
projekte,4,1
f,4,0
beta,4,1
möglichkeiten,4,0
gemeinsam,4,0
uebergeben,4,0
referendum,4,0
zurueckgezogen,4,0
meist,4,0
schauen,4,0
twitter,4,1
messaging,4,0
meta,4,2
bot,4,1
rc,4,0
zukuenftige,4,1
genau,4,0
europaeische,4,0
al,4,1
raumfahrt,4,1
europaeischen,4,0
ministerpraesidenten,4,0
mirc,4,1
zurueckgegeben,4,0
radio,4,1
anbieter,4,2
gruesse,4,0
schildkröte,4,0
irgendwie,4,1
voreingestellter,4,0
hilfeseiten,4,1
hierher,4,1
ta,4,3
soweit,4,0
josef,4,0
josua,4,0
journalismus,4,0
sonderzeichen,4,3
78,4,0
weniger,4,0
doppelt,4,0
juni,4,2
juschtschenkos,4,3
auflistung,4,0
do,4,1
hendrik,4,0
ende,4,0
emailclient,4,0
kandidatur,4,0
webseite,4,1
eintraege,4,0
indexof,4,0
214,4,0
anmerkung,4,3
idee,4,1
id,4,0
hu,4,4
instant,4,0
217,4,0
interactive,4,0
interessant,4,1
holger,4,0
85,4,0
vorhanden,4,0
eigenen,4,0
inverssuche,4,0
eltern,4,0
ententeich,4,0
entfernen,4,0
d,4,0
schön,4,0
antwort,4,0
kurz,4,0
kutschma,4,0
darunter,4,0
abschnitt,4,0
köln,4,0
schnelllöschkandidat,4,0
schnelllöschantrag,4,1
gruppe,4,0
willkommen,4,0
window,4,2
laendern,4,1
grundsaetze,4,1
ergebnis,4,0
d9,4,0
d8,4,0
april,4,1
krieg,4,1
wikinotizie,4,0
diskussionsseite,4,0
kopiert,4,0
diskussionen,4,0
abgelehnt,4,0
kategorisiert,4,0
entsprechende,4,0
view,4,0
taz,4,0
dewikinews,4,0
kollaborative,4,1
deutscher,4,1
angaben,4,0
anfuehrungszeichen,4,0
wikinewsde,4,0
kontakt,4,0
deren,4,0
search,4,1
dell,4,0
halbgeviertstrich,4,0
nachrichtentitel,4,0
inc,4,0
freitag,4,0
unternehmen,4,0
g20,4,0
neutraler,4,0
berliner,4,0
nutzen,4,0
findet,4,1
freenode,4,0
orange,4,0
uschi,4,0
us,4,1
ウィキニュース,4,0
beatsteaks,4,0
artikelkategorisierung,4,1
formate,4,1
notoc,4,4
unbekannt,4,0
beiden,4,0
nutzer,4,0
frankreich,4,0
article,4,0
викиновости,4,0
berichte,4,0
41,4,0
opensourcesoftware,4,0
netz,4,0
カテゴリ,4,0
agentur,4,0
onload,4,0
رده,4,0
unterstuetzt,4,0
bedingungen,4,0
begruendung,4,1
opera,4,1
opposition,4,2
beispielartikel,4,0
paris,4,0
offline,4,3
usdollar,4,0
43,4,0
formel,4,1
unschluessig,4,0
originalbericht,4,0
paar,4,0
bekomme,4,0
nordamerika,4,0
nissan,4,0
urheberrechte,4,0
unnötiger,4,0
not,4,0
praesidentschaftswahlen,4,0
ordnung,4,0
utri,4,0
forza,3,0
auftritt,3,0
flo122,3,0
telekom,3,0
kosmische,3,0
kostenlos,3,0
seien,3,0
vier,3,0
ویکی‌خبر,3,0
erdbeben,3,0
wikinytt,3,0
koelner50,3,0
koblenz,3,0
days,3,0
offiziellen,3,0
hartz,3,0
attentat,3,0
begin,3,3
entweder,3,0
antrag,3,0
kontinent,3,0
hartes,3,0
designated,3,0
ableger,3,0
entwickelte,3,0
entwickelt,3,0
entwickler,3,0
befinden,3,0
befindet,3,0
detektor,3,0
formulieren,3,0
offenen,3,0
entwicklung,3,1
selber,3,0
selten,3,0
sec,3,0
aug,3,0
konkurrenten,3,0
antraege,3,0
offenbar,3,0
textgestaltung,3,0
automatisch,3,0
letzten,3,0
übersetzung,3,0
saudiarabien,3,1
wissenschaftsnachrichten,3,2
nostronostro,3,0
wmf,3,0
coordinate,3,0
sagte,3,0
sagen,3,1
golem,3,1
platter,3,0
leonid,3,0
glauben,3,0
wikipediaartikel,3,0
title,3,0
קטגוריה,3,0
erklaerung,3,0
community,3,0
liebe,3,1
ard,3,1
liegt,3,0
anzahl,3,0
colombia,3,0
worten,3,0
beizutragen,3,0
groupware,3,0
scheint,3,1
pistenwolf,3,0
verwaltung,3,0
kritiken,3,0
erfahrung,3,0
wikis,3,0
personen,3,0
schreibt,3,0
kurzer,3,0
art,3,0
grössere,3,0
wikizprávy,3,0
schnelllöschung,3,0
schnell,3,0
verbessert,3,0
and,3,0
willst,3,1
daily,3,1
grundsaetzlich,3,0
th,3,3
laesst,3,0
