bigram,count
dez 2004,120
2004 benutzer,108
mathias schindler,65
benutzer elian,53
elian elian,53
alter inhalt,50
gelöscht alter,41
4 dez,33
schindler mathias,32
benutzer mathias,32
5 dez,31
portallink hintergrundfarbe,21
portalname portal,20
datei wikinews,19
wikinews waves,18
3 dez,18
png 21px,18
wikinews diskussion,16
03 12,16
12 2004,15
6 dez,14
kategorie wikinews,13
per heute,13
blaite blaite,13
inhalt redirect,13
benutzer blaite,13
inhalt löschen,12
01 2006,11
diskussion kategorien,11
wikipedia de,11
akl akl,11
8 dez,11
benutzer akl,11
existieren wikinews,11
heute existieren,11
kategorie themenportal,10
dezember 2004,10
vorlage hauptseite,10
· wikinews,10
waves left,9
left png,9
bereinigung kategorie,9
right png,9
waves right,9
1 month,9
mfg benutzer,8
datum 03,8
19 01,8
titel wikipedia,8
7 dez,7
readers edition,7
gelöscht urv,7
yes men,7
2004 utc,7
datum 19,7
einsortierung artikeln,6
timel m,6
medium heise,6
special recentchanges,6
· hilfe,6
wikinews spezial,6
spezial allpages,6
1 0,6
heise online,6
elian wikinews,6
4 12,6
month ago,6
0 freigegeben,6
artikeln kategorie,6
the yes,6
ago timel,6
spezial letzte,5
vorerst verboten,5
wikimedia commons,5
spiegel online,5
artikelstatus fertig,5
zusammenfassung quellen,5
2006 cest,5
verboten gelöscht,5
jun 2006,5
2004 cet,5
dab dab,5
benutzer dab,5
dow chemical,5
einstweilige verfuegung,5
10 dez,5
laut wikinews,5
wikinews gestartet,5
letzte aenderungen,5
orange revolution,4
gelöscht unnötiger,4
november 2006,4
unnötiger redirect,4
arbeit soziales,4
deutsche wikinews,4
artikel pro,4
34 5,4
telefone voreingestellter,4
september 2005,4
telekomvorwahl vorerst,4
datum 20,4
benutzer michaeldiederich,4
schindler wikinews,4
2005 kategorienanzahl,4
originaere berichterstattung,4
dezember 2005,4
revolution gelöscht,4
document location,4
timel f,4
2007 cet,4
pro tag,4
wikinews organisation,4
fertig 3,4
josef schwammberger,4
m 1,4
michaeldiederich michaeldiederich,4
kategorie deutsche,4
7 12,4
wikinews archiv,4
hauptseite newsticker,4
wikimedia de,4
hilfe übersicht,4
voreingestellter telekomvorwahl,4
hauptseite aufmacher,4
medium spiegel,4
hendrik brummermann,4
06 5,4
000 kategorien,4
1 12,4
· kategorie,3
2004 gelöscht,3
rc 1,3
datum 06,3
40 5,3
vorlage originalbericht,3
referenzliste fuer,3
quellen –,3
tonline unschluessig,3
redirect wikinews,3
wolfdieter wolfdieter,3
wikinews lizenzbestimmungen,3
000 artikel,3
elian kategorie,3
elian orange,3
06 2006,3
ausser betrieb,3
empfehlung angebotes,3
trennt freien,3
de wikinews,3
kosmische strahlung,3
hilfe quellen,3
mutterkonzernes gelöscht,3
location search,3
16 jun,3
listusers benutzer,3
detektor fuer,3
57 4,3
ifexist vorlage,3
ifeq timel,3
themenportal politik,3
days ago,3
15 days,3
wikinews plaene,3
deutschland 03,3
benutzer wolfdieter,3
regeln empfehlungen,3
03 2006,3
thunderbird 1,3
