unigram,count,beginning_count
wikinews,211,37
2004,154,1
benutzer,148,2
dez,122,0
gelöscht,108,0
kategorie,107,59
elian,106,0
titel,77,41
mathias,65,0
schindler,65,0
artikel,63,9
12,61,6
inhalt,55,0
alter,53,1
de,53,1
4,49,5
fuer,47,1
wikipedia,47,3
url,44,39
quelle,44,39
datum,43,39
5,42,0
medium,40,40
1,39,6
2006,38,1
·,34,0
3,34,4
hilfe,31,7
portal,30,2
19,30,12
diskussion,29,0
2005,27,1
blaite,26,0
03,26,9
kategorien,26,1
10,25,5
01,23,5
–,23,0
hauptseite,23,4
png,22,0
akl,22,0
portallink,21,21
hintergrundfarbe,21,0
portalname,21,0
w,21,0
online,21,0
vorlage,21,6
spezial,21,1
0,20,0
22,20,12
20,20,7
heute,20,1
quellen,20,6
datei,20,11
redirect,18,0
23,18,13
18,18,7
21px,18,0
6,18,1
dezember,18,4
wurde,18,0
bitte,18,5
ueber,18,0
waves,18,0
15,17,6
deutschland,17,0
seite,17,2
löschen,17,0
13,16,11
artikeln,16,0
deutsche,16,1
wikimedia,16,0
14,15,5
05,15,6
06,15,1
00,15,9
recentchanges,15,0
000,15,0
11,14,3
bild,14,5
per,13,12
8,13,0
cet,13,0
2,13,2
politik,12,0
neue,12,1
timel,12,0
news,12,0
21,12,11
7,12,4
existieren,12,0
streitkraefte,11,7
08,11,5
themenportal,11,0
siehe,11,3
bereinigung,11,3
07,11,2
special,10,0
the,10,3
right,10,0
nachrichten,10,0
heise,10,0
document,10,2
16,10,5
dab,10,0
left,9,0
seiten,9,1
commons,9,0
30,9,4
month,9,0
ago,9,0
spiegel,9,1
wiki,9,1
artikelstatus,9,5
newsticker,8,0
org,8,0
readers,8,0
svg,8,0
mfg,8,1
portale,8,0
vorerst,8,0
bundesverfassungsgericht,8,1
2007,8,1
tag,8,3
edition,8,0
m,8,1
meldung,8,1
urv,8,0
michaeldiederich,8,0
schwammberger,7,0
26,7,4
verboten,7,0
staaten,7,0
25,7,4
utc,7,0
aonloadfunctions,7,2
wirtschaft,7,0
04,7,2
yes,7,0
november,7,3
oktober,7,5
59,7,0
weitere,7,1
ukraine,7,0
freien,7,0
militaerwesen,7,1
men,7,0
laut,7,3
bereits,7,0
cest,7,0
einsortierung,7,7
china,7,0
…,7,1
namen,7,1
thunderbird,6,0
denen,6,0
telefone,6,0
gibt,6,1
test,6,0
gestartet,6,0
allpages,6,0
i,6,0
sollen,6,0
menschen,6,0
erst,6,1
europa,6,0
finden,6,0
möglich,6,0
bhopal,6,0
neuen,6,0
lizenzbestimmungen,6,1
liste,6,1
freigegeben,6,0
berichterstattung,6,0
computer,6,0
plaene,6,0
kategorienanzahl,6,0
juli,6,2
